colony_name,settlement_count,unique_games,wins,avg_position,position_sum,avg_settlements_per_game,win_rate,weighted_avg_position,cn_name,cn_name_plot
Enceladus,1173,857,391,2.184995737425405,2563.0,1.37,33.33,2.192851205320033,土卫二,土卫二
Venus,786,631,273,2.204834605597964,1733.0,1.25,34.73,2.215686274509804,金星标志,金星标志
Deimos,95,56,35,2.1578947368421053,205.0,1.7,36.84,2.24,Deimos,Deimos
Iapetus,2586,1256,863,2.2428460943542152,5800.0,2.06,33.37,2.245795107033639,Iapetus,Iapetus
Titania,1014,556,306,2.3205128205128207,2353.0,1.82,30.18,2.3256704980842913,Titania,Titania
Miranda,1219,770,373,2.3347005742411815,2846.0,1.58,30.6,2.3386709367493994,天卫五,天卫五
Europa,2450,1559,709,2.3477551020408165,5752.0,1.57,28.94,2.3495967741935484,木卫二,木卫二
Titan,805,616,244,2.363975155279503,1903.0,1.31,30.31,2.3688622754491018,土卫六,土卫六
Iapetus II,52,43,18,2.3076923076923075,120.0,1.21,34.62,2.3780487804878048,Iapetus II,Iapetus II
Triton,4466,2010,1206,2.409986565158979,10763.0,2.22,27.0,2.4105871886120998,海卫一,海卫一
Pallas,640,428,181,2.43125,1556.0,1.5,28.28,2.434328358208955,Pallas,Pallas
Ganymede,530,439,137,2.4415094339622643,1294.0,1.21,25.85,2.444642857142857,木卫三,木卫三
Ceres,2219,1185,589,2.4470482199188823,5430.0,1.87,26.54,2.4477545575811472,谷神星,谷神星
Pluto,5916,2272,1582,2.474306964164976,14638.0,2.6,26.74,2.4744365960309453,冥王星,冥王星
Callisto,366,308,82,2.5054644808743167,917.0,1.19,22.4,2.505050505050505,木卫四,木卫四
Io,163,147,32,2.5521472392638036,416.0,1.11,19.63,2.5440414507772022,木卫一,木卫一
Leavitt,1389,891,329,2.5946724262059035,3604.0,1.56,23.69,2.5926708949964765,Leavitt,Leavitt
Luna,1519,953,333,2.621461487820935,3982.0,1.59,21.92,2.619109102646869,月球,月球
