milestone_name,claim_count,wins,avg_position,position_sum,win_rate,weighted_avg_position,cn_name,cn_name_plot
Tropicalist,45,34,1.2444444444444445,56.0,75.56,1.3466666666666667,热带主义者,热带主义者
Terraformer,221,140,1.3665158371040724,302.0,63.35,1.3824701195219125,改造先锋,改造先锋
V. Electrician,56,38,1.3214285714285714,74.0,67.86,1.3837209302325582,电气技师,电气技师
T. Collector,82,53,1.353658536585366,111.0,64.63,1.3928571428571428,收藏家,收藏家
Economizer,36,24,1.3333333333333333,48.0,66.67,1.4090909090909092,节能专家,节能专家
Tactician,383,228,1.4046997389033942,538.0,59.53,1.4116222760290558,战术家,战术家
Legend,259,152,1.4131274131274132,366.0,58.69,1.4221453287197232,传奇人物,传奇人物
Ecologist,285,165,1.4210526315789473,405.0,57.89,1.4285714285714286,生态专家,生态专家
Energizer,214,123,1.425233644859813,305.0,57.48,1.4344262295081966,发电专家,发电专家
Tycoon,292,167,1.428082191780822,417.0,57.19,1.434782608695652,专案大亨,专案大亨
Polar Explorer,72,42,1.4166666666666667,102.0,58.33,1.4411764705882353,极地探险家,极地探险家
Gardener,115,66,1.4260869565217391,164.0,57.39,1.4413793103448276,园丁,园丁
Diversifier,475,264,1.4442105263157894,686.0,55.58,1.4475247524752475,多元化经营者,多元化经营者
Builder,209,117,1.4401913875598087,301.0,55.98,1.4476987447698744,建设先驱,建设先驱
Networker,85,47,1.4470588235294117,123.0,55.29,1.4608695652173913,网络大亨,网络大亨
Irrigator,41,23,1.4390243902439024,59.0,56.1,1.4647887323943662,灌溉者,灌溉者
Land Specialist,30,17,1.4333333333333333,43.0,56.67,1.4666666666666666,土地专家,土地专家
Spacefarer,47,26,1.446808510638298,68.0,55.32,1.4675324675324675,太空航行者,太空航行者
Terra Pioneer,40,22,1.45,58.0,55.0,1.4714285714285715,改造先驱,改造先驱
Hoverlord,186,101,1.467741935483871,273.0,54.3,1.4722222222222223,天空霸主,天空霸主
Rim Settler,230,120,1.4782608695652173,340.0,52.17,1.4807692307692308,木星定居者,木星定居者
V. Spacefarer,254,130,1.4881889763779528,378.0,51.18,1.4894366197183098,太空旅行者,太空旅行者
Mayor,148,75,1.4932432432432432,221.0,50.68,1.4943820224719102,市长,市长
Planner,343,173,1.4956268221574345,513.0,50.44,1.4959785522788205,运筹帷幄,运筹帷幄
Specialist,409,206,1.4963325183374083,612.0,50.37,1.4965831435079726,专业人士,专业人士
Tradesman,64,32,1.5,96.0,50.0,1.5,贸易天才,贸易天才
Generalist,224,107,1.5223214285714286,341.0,47.77,1.5196850393700787,泛用人才,泛用人才
Minimalist,33,15,1.5454545454545454,51.0,45.45,1.5238095238095237,极简主义者,极简主义者
