milestone_name,claim_count,wins,avg_position,position_sum,avg_score,available_count,claim_rate,win_rate,weighted_avg_position,cn_name,cn_name_plot
Tycoon,643,340,1.6640746500777606,1070.0,124.2457231726283,2099,30.63,52.88,1.701337295690936,专案大亨,专案大亨
Tactician,1089,517,1.7575757575757576,1914.0,112.46464646464646,2602,41.85,47.47,1.7774798927613942,战术家,战术家
Networker,418,205,1.7799043062200957,744.0,98.73444976076556,1656,25.24,49.04,1.828125,网络大亨,网络大亨
Terraformer,889,399,1.8312710911136107,1628.0,100.14735658042744,2152,41.31,44.88,1.85310119695321,改造先锋,改造先锋
Legend,790,352,1.8443037974683545,1457.0,107.57594936708861,2920,27.05,44.56,1.8682926829268294,传奇人物,传奇人物
Builder,524,224,1.8606870229007633,975.0,119.70229007633588,2044,25.64,42.75,1.8953068592057762,建设先驱,建设先驱
Ecologist,1065,451,1.8929577464788732,2016.0,103.33708920187793,2385,44.65,42.35,1.9095890410958904,生态专家,生态专家
Gardener,604,251,1.8973509933774835,1146.0,93.8476821192053,1993,30.31,41.56,1.9258675078864353,园丁,园丁
Forester,167,81,1.8562874251497006,310.0,86.45508982035928,412,40.53,48.5,1.9543147208121827,农民,农民
Terra Pioneer,295,118,1.9050847457627118,562.0,92.11186440677966,588,50.17,40.0,1.96,改造先驱,改造先驱
Polar Explorer,386,146,1.9300518134715026,745.0,92.96632124352331,2211,17.46,37.82,1.9711538461538463,极地探险家,极地探险家
Generalist,648,242,1.9521604938271604,1265.0,109.70679012345678,2877,22.52,37.35,1.9764011799410028,泛用人才,泛用人才
Specialist,1320,502,1.9772727272727273,2610.0,104.35303030303031,2470,53.44,38.03,1.988888888888889,专业人士,专业人士
Mayor,466,172,1.9570815450643777,912.0,104.37339055793991,2308,20.19,36.91,1.9899193548387097,市长,市长
Irrigator,293,128,1.9419795221843004,569.0,90.24573378839591,739,39.65,43.69,1.9938080495356036,灌溉者,灌溉者
Tropicalist,398,160,1.9572864321608041,779.0,88.69597989949749,740,53.78,40.2,1.9953271028037383,热带主义者,热带主义者
Diversifier,1595,606,1.9899686520376176,3174.0,104.12789968652038,2653,60.12,37.99,1.9993846153846153,多元化经营者,多元化经营者
Land Specialist,157,69,1.9044585987261147,299.0,107.40764331210191,696,22.56,43.95,2.0,土地专家,土地专家
Terran,192,87,1.953125,375.0,100.27083333333333,591,32.49,45.31,2.027027027027027,地球居民,地球居民
Hoverlord,968,366,2.0144628099173554,1950.0,101.94628099173553,3501,27.65,37.81,2.029058116232465,天空霸主,天空霸主
Energizer,754,296,2.013262599469496,1518.0,107.38859416445624,2423,31.12,39.26,2.0318877551020407,发电专家,发电专家
Farmer,155,64,1.9483870967741936,302.0,92.47741935483872,475,32.63,41.29,2.037837837837838,农夫,农夫
Planner,1210,463,2.03801652892562,2466.0,107.4099173553719,2825,42.83,38.26,2.049193548387097,运筹帷幄,运筹帷幄
Firestarter,181,74,1.977900552486188,358.0,81.88397790055248,772,23.45,40.88,2.052132701421801,引火者,引火者
Rim Settler,928,343,2.0398706896551726,1893.0,104.35991379310344,2527,36.72,36.96,2.0542797494780793,木星定居者,木星定居者
Tradesman,356,138,2.0168539325842696,718.0,101.26404494382022,727,48.97,38.76,2.0544041450777204,贸易天才,贸易天才
T. Collector,530,214,2.043396226415094,1083.0,95.31698113207547,884,59.95,40.38,2.067857142857143,收藏家,收藏家
Economizer,257,101,2.027237354085603,521.0,88.56420233463035,718,35.79,39.3,2.076655052264808,节能专家,节能专家
Spacefarer,241,100,2.024896265560166,488.0,103.69709543568464,530,45.47,41.49,2.077490774907749,太空航行者,太空航行者
Gambler,47,18,1.851063829787234,87.0,104.1063829787234,848,5.54,38.3,2.103896103896104,赌徒,赌徒
V. Spacefarer,839,296,2.0905840286054826,1754.0,101.16567342073897,1564,53.64,35.28,2.1047180667433834,太空旅行者,太空旅行者
Engineer,34,17,1.7941176470588236,61.0,93.52941176470588,117,29.06,50.0,2.125,工程师,工程师
Martian,137,56,2.0802919708029197,285.0,96.2992700729927,1008,13.59,40.88,2.155688622754491,火星人,火星人
Minimalist,300,99,2.15,645.0,80.21,1004,29.88,33.0,2.1818181818181817,极简主义者,极简主义者
V. Electrician,369,137,2.165311653116531,799.0,93.62059620596206,831,44.4,37.13,2.1904761904761907,电气技师,电气技师
Smith,170,55,2.164705882352941,368.0,93.11176470588235,779,21.82,32.35,2.215,铁匠,铁匠
Capitalist,315,107,2.2063492063492065,695.0,85.58412698412698,982,32.08,33.97,2.2318840579710146,资本家,资本家
Businessperson,172,66,2.186046511627907,376.0,94.6453488372093,443,38.83,38.37,2.232673267326733,Businessperson,Businessperson
Pioneer,258,78,2.2131782945736433,571.0,92.34496124031008,845,30.53,30.23,2.2430555555555554,先驱者,先驱者
Geologist,34,12,2.0294117647058822,69.0,84.58823529411765,117,29.06,35.29,2.25,地质学家,地质学家
Colonizer,105,33,2.257142857142857,237.0,101.02857142857142,885,11.86,31.43,2.311111111111111,殖民者,殖民者
